ISBN|Title|Author|Copies|Year|Publisher|Price
978-0-08-037876-3|Hydrostatically Loaded Structures|Nash, W.A.|20|1995|Pergamon|175
978-0-08-041920-6|Urban Disaster Mitigation: The Role of Engineering|Cheng, F.Y./Sheu, M.S.|9|1995|Pergamon|213
978-0-08-042140-7|Current Advances in Mechanical Design and Producti|M.E. Elarabi / A.S. Wifi|12|1995|Pergamon|222
978-0-08-042266-4|Thin-Walled Structures with Structural Imperfectio|Godoy, L.A.|17|1996|Pergamon|261
978-0-08-042688-4|Proceedings of the Sixteenth International Cryogen|T. Haruyama, T. Mitsui, K. Yamafuji|18|1997|Elsevier|231
978-0-08-042699-0|Advances in the Bonded Composite Repair of Metalli|A.A. Baker / L.R.F. Rose / R. Jones|19|2002|Elsevier Science Ltd|120
978-0-08-042821-5|Connections in Steel Structures III|Bjorhovde, R. / Colson, A. / Zandonini, R.|10|1996|Pergamon|124
978-0-08-042825-3|Post-Earthquake Rehabilitation and Reconstruction|Cheng, F.Y. / Wang, Y.Y.|20|1996|Pergamon|342
978-0-08-042830-7|Advances in Steel Structures (ICASS '96)|S.L. Chan, J.G. Teng|13|1996|Pergamon|249
978-0-08-042839-0|Compact Heat Exchangers|J.E. Hesselgreaves|6|2001|Pergamon|336
978-0-08-042848-2|Cognitive Reliability and Error Analysis Method (C|E. Hollnagel|14|1998|Elsevier Science Ltd|146
978-0-08-042998-4|Non-Linear Static and Cyclic Analysis of Steel Fra|Siu-Lai Chan / Pui-Tak Chui|8|1999|Elsevier Science Ltd|303
978-0-08-042999-1|Practical Ship Design|D.G.M. Watson|10|1998|Elsevier|151
978-0-08-043008-9|Computational Mechanics in Structural Engineering|F.Y. Cheng / Yuanxian Gu|12|1999|Elsevier Science Ltd|312
978-0-08-043015-7|Advances in Steel Structures (ICASS '99)|Siu-Lai Chan, J.G. Teng|10|1999|Pergamon|249
978-0-08-043022-5|Minimum Reinforcement in Concrete Members|A. Carpinteri|12|1999|Elsevier|164
978-0-08-043317-2|Wind Generated Ocean Waves|I.R. Young|17|1999|Elsevier|323
978-0-08-043318-9|Fatigue Design of Components|G.Marquis, J Solin|7|1997|Elsevier|239
978-0-08-043319-6|Inverse Problems in Engineering Mechanics|M. Tanaka / G.S. Dulikravich|12|1998|Elsevier Science Ltd|265
978-0-08-043320-2|Stability and Ductility of Steel Structures (SDSS'|T. Usami / Y. Itoh|8|1998|Pergamon|238
978-0-08-043322-6|Damage Mechanics in Engineering Materials|G.Z. Voyiadjis, Jiann-Wen Ju, Jean-Louis Chab|16|1998|Elsevier|288
978-0-08-043327-1|Advances in Adaptive Computational Methods in Mech|P. Ladevï¿½ze, J.T. Oden|9|1998|Elsevier|228
978-0-08-043328-8|Engineering Turbulence Modelling and Experiments 4|W. Rodi / D. Laurence|14|1999|Elsevier Science Ltd|158
978-0-08-043329-5|Fatigue Design and Reliability|G.Marquis, J Solin|6|1999|Elsevier|314
978-0-08-043336-3|Multitaxial Fatigue & Fracture|E. Macha, W. Bedkowski, T. Lagoda|20|1999|Elsevier|130
978-0-08-043341-7|Vibration of Mindlin Plates|K.M. Liew/C.M. Wang/Y. Xiang/S. Kitipornchai|6|1998|Elsevier Science Ltd|194
978-0-08-043567-1|Agile Manufacturing: The 21st Century Competitive|A. Gunasekaran|13|2001|Elsevier Science Ltd|106
978-0-08-043643-2|Ergonomics Guidelines and Problem Solving|A. Mital|5|2000|Elsevier|203
978-0-08-043661-6|Advanced Polymer Composites and Polymers in the Ci|L.C. Hollaway / P.R. Head|13|2001|Elsevier Science Ltd|258
978-0-08-043668-5|Poroelastic Structures|G. Cederbaum / L. P. Li / K. Schulgasser|12|2000|Elsevier Science Ltd|265
978-0-08-043689-0|Fracture Mechanics Testing Methods for Polymers, A|D.R. Moore, J.G. Williams, A. Pavan|17|2001|Elsevier|270
978-0-08-043693-7|Inverse Problems in Engineering Mechanics II|M. Tanaka / G.S. Dulikravich|15|2000|Elsevier Science Ltd|131
978-0-08-043699-9|Fracture Mechanics: Applications and Challenges|M. Fuentes, M. Elices|16|2000|Elsevier|241
978-0-08-043710-1|Fracture of Polymers, Composites and Adhesives|J.G. Williams, A. Pavan|16|2000|Elsevier|239
978-0-08-043711-8|Current Advances in Mechanical Design and Producti|M.F. Hassan / S.M. Megahed|12|2000|Pergamon|307
978-0-08-043712-5|Pipelines and Risers|Yong Bai|10|2001|Elsevier|344
978-0-08-043784-2|Shear Deformable Beams and Plates|C.M. Wang / J.N. Reddy / K.H. Lee|12|2000|Elsevier Science Ltd|284
978-0-08-043868-9|Design Knowing and Learning: Cognition in Design E|C. Eastman / W. Newstetter / M. McCracken|14|2001|Elsevier|305
978-0-08-043921-1|Marine Structural Design|Yong Bai|8|2003|Elsevier|321
978-0-08-043948-8|Structural Engineering, Mechanics and Computation|Zingoni, A.|11|2001|Elsevier|120
978-0-08-043950-1|Practical Design of Ships and Other Floating Struc|Wu|18|2001|Elsevier|119
978-0-08-043951-8|Inverse Problems in Engineering Mechanics III|M. Tanaka / G.S. Dulikravich|18|2002|Elsevier|150
978-0-08-043953-2|Load and Global Response of Ships|J.J Jensen|12|2001|Elsevier|100
